Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.no rank 0,Taxonomy.ENA.class,Taxonomy.ENA.order,Taxonomy.ENA.family,Taxonomy.ENA.genus
Methanothermobacter thermautotrophicus,X06787,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13473,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter
Haloferax volcanii,K02514,74,30,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_13494,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Haloferax volcanii,K02512,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13513,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Haloferax volcanii,K02513,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13514,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Haloferax volcanii,K02514,74,30,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_13515,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Haloferax volcanii,K02515,74,30,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_13516,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Methanocaldococcus jannaschii DSM 2661,L77117,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13527,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
Methanocaldococcus jannaschii DSM 2661,L77117,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13528,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
Thermofilum pendens,J05061,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13559,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Thermoproteales,Thermofilaceae,Thermofilum
Halobacterium salinarum,X03197,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13597,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium
Methanothermobacter thermautotrophicus,X06787,78,34,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_A_13612,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter
Archaeoglobus fulgidus DSM 4304,AE000782,72,28,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_13920,--,Yes,Archaea,Euryarchaeota,,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
Methanosarcina mazei Go1,AE008384,73,29,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_A_13940,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Pyrococcus furiosus DSM 3638,AE010295,77,33,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_13951,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Methanopyrus kandleri AV19,AE010380,78,34,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_13953,--,Yes,Archaea,Euryarchaeota,,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus
Thermoplasma acidophilum,AL445066,72,28,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_14254,--,Yes,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
uncultured methanogenic archaeon,AM114193,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_14285,--,Yes,Archaea,Euryarchaeota,environmental samples,,,,
Haloquadratum walsbyi DSM 16790,AM180088,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_14297,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum
Thermococcus kodakarensis KOD1,AP006878,77,33,44,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_A_14390,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Haloarcula marismortui ATCC 43049,AY596297,71,27,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_14685,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula
Pyrococcus horikoshii OT3,BA000001,77,33,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_14770,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Thermoplasma volcanium GSS1,BA000011,72,28,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_A_14776,--,Yes,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
Sulfolobus acidocaldarius DSM 639,CP000077,72,32,40,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_14863,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus
Methanosarcina barkeri str. Fusaro,CP000099,72,28,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_14876,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosphaera stadtmanae DSM 3091,CP000102,75,31,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_14877,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
Methanospirillum hungatei JF-1,CP000254,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_14925,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
Methanococcoides burtonii DSM 6242,CP000300,75,31,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_14941,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides
Hyperthermus butylicus DSM 5456,CP000493,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_15016,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus
Natronomonas pharaonis DSM 2160,CR936257,71,27,44,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_A_15082,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas
Haloferax volcanii,K02516,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_15349,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Halobacterium salinarum,X03198,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_15350,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium
Haloferax volcanii,K02516,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_15351,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Methanocaldococcus jannaschii,U67517,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_15352,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
Methanocaldococcus jannaschii DSM 2661,L77117,72,28,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_A_15380,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
Halobacterium salinarum,X03198,77,33,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_A_15415,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium
Archaeoglobus fulgidus DSM 4304,AE000782,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_15683,--,Yes,Archaea,Euryarchaeota,,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
Methanosarcina mazei Go1,AE008384,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_15722,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina mazei Go1,AE008384,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_15723,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Pyrobaculum aerophilum str. IM2,AE009874,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_15740,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
Pyrococcus furiosus DSM 3638,AE010198,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_15746,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Methanopyrus kandleri AV19,AE010306,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_15748,--,Yes,Archaea,Euryarchaeota,,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus
uncultured methanogenic archaeon,AM114193,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_17130,--,Yes,Archaea,Euryarchaeota,environmental samples,,,,
uncultured methanogenic archaeon,AM114193,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_17131,--,Yes,Archaea,Euryarchaeota,environmental samples,,,,
Haloquadratum walsbyi DSM 16790,AM180088,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_17135,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum
Thermococcus kodakarensis KOD1,AP006878,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_17243,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Haloarcula marismortui ATCC 43049,AY596297,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_17656,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula
Pyrococcus horikoshii OT3,BA000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_18676,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Sulfolobus acidocaldarius DSM 639,CP000077,71,31,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_18869,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus
Methanosarcina barkeri str. Fusaro,CP000099,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_18900,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina barkeri str. Fusaro,CP000099,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_18901,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosphaera stadtmanae DSM 3091,CP000102,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_18902,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
Methanospirillum hungatei JF-1,CP000254,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_18997,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
Methanococcoides burtonii DSM 6242,CP000300,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_19032,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides
Hyperthermus butylicus DSM 5456,CP000493,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_19188,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus
Methanocorpusculum labreanum Z,CP000559,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_19239,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum
Natronomonas pharaonis DSM 2160,CR936257,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_19329,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas
Haloferax volcanii,K00219,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_19844,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Haloferax volcanii,K02517,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_19845,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Methanocaldococcus jannaschii,U67517,75,31,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_A_19852,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
Haloferax volcanii,K00219,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_19860,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Archaeoglobus fulgidus DSM 4304,AE000782,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20252,--,Yes,Archaea,Euryarchaeota,,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
Archaeoglobus fulgidus DSM 4304,AE000782,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20253,--,Yes,Archaea,Euryarchaeota,,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
Methanosarcina mazei Go1,AE008384,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20296,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina mazei Go1,AE008384,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20297,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Pyrobaculum aerophilum str. IM2,AE009908,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20315,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
Pyrobaculum aerophilum str. IM2,AE009909,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20316,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
Pyrococcus furiosus DSM 3638,AE010172,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20325,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Pyrococcus furiosus DSM 3638,AE010250,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20326,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Methanopyrus kandleri AV19,AE010368,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20328,--,Yes,Archaea,Euryarchaeota,,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus
Methanococcus maripaludis,AF108356,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20541,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanococcaceae,Methanococcus
Thermoplasma acidophilum,AL445063,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20608,--,Yes,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
Thermoplasma acidophilum,AL445064,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20609,--,Yes,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
uncultured methanogenic archaeon,AM114193,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20651,--,Yes,Archaea,Euryarchaeota,environmental samples,,,,
uncultured methanogenic archaeon,AM114193,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20652,--,Yes,Archaea,Euryarchaeota,environmental samples,,,,
Haloquadratum walsbyi DSM 16790,AM180088,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20655,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum
Haloquadratum walsbyi DSM 16790,AM180088,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20656,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum
Thermococcus kodakarensis KOD1,AP006878,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20718,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Thermococcus kodakarensis KOD1,AP006878,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20719,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Haloarcula marismortui ATCC 43049,AY596297,74,30,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_20853,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula
Haloarcula marismortui ATCC 43049,AY596297,74,30,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_20854,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula
Pyrococcus horikoshii OT3,BA000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20888,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Pyrococcus horikoshii OT3,BA000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20889,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Thermoplasma volcanium GSS1,BA000011,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20901,--,Yes,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
Thermoplasma volcanium GSS1,BA000011,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_20902,--,Yes,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
Sulfolobus acidocaldarius DSM 639,CP000077,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21095,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus
Sulfolobus acidocaldarius DSM 639,CP000077,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21096,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus
Methanosarcina barkeri str. Fusaro,CP000099,77,33,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_21123,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina barkeri str. Fusaro,CP000099,74,30,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_21124,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosphaera stadtmanae DSM 3091,CP000102,74,30,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_21125,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
Methanospirillum hungatei JF-1,CP000254,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21225,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
Methanospirillum hungatei JF-1,CP000254,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21226,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
Methanococcoides burtonii DSM 6242,CP000300,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21262,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides
Methanococcoides burtonii DSM 6242,CP000300,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21263,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides
Hyperthermus butylicus DSM 5456,CP000493,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21453,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus
Methanocorpusculum labreanum Z,CP000559,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21507,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum
Methanocorpusculum labreanum Z,CP000559,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21508,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum
Natronomonas pharaonis DSM 2160,CR936257,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21562,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas
Natronomonas pharaonis DSM 2160,CR936257,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21563,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas
Haloferax volcanii,K00283,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21800,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Haloferax volcanii,K02518,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21801,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Haloferax volcanii,K02518,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21818,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Methanococcus maripaludis,AF108356,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21821,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanococcaceae,Methanococcus
Methanocaldococcus jannaschii DSM 2661,L77117,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21841,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
Methanococcus vannielii,X00916,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21899,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanococcaceae,Methanococcus
Methanococcus vannielii,X00916,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_21900,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanococcaceae,Methanococcus
Halococcus morrhuae,X72588,74,30,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_21942,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halococcaceae,Halococcus
Archaeoglobus fulgidus DSM 4304,AE000782,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_22036,--,Yes,Archaea,Euryarchaeota,,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
Archaeoglobus fulgidus DSM 4304,AE000782,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_22037,--,Yes,Archaea,Euryarchaeota,,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
Methanosarcina mazei Go1,AE008384,75,31,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_22073,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
